SUPPLIER_SK,S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,START_DATE,END_DATE,IS_CURRENT,RECORD_SOURCE
18,18,Supplier#000000018,PGGVE5PWAMwKDZw,16,267295511115,7041.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
19,19,Supplier#000000019,"edZT3es,nBFD8lBXTGeTl",24,342783102731,6150.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
20,20,Supplier#000000020,"iybAE,RmTymrZVYaFZva2SH,j",3,137159456730,531.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
21,21,Supplier#000000021,81CavellcrJ0PQ3CPBID0Z0JwyJm0ka5igEs,2,122535905816,9366.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
22,22,Supplier#000000022,"okiiQFk 8lm6EVX6Q0,bEcO",4,141448302814,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
23,23,Supplier#000000023,ssetugTcXc096qlD7 2TL5crEEeS3zk,9,195594225776,5926.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
24,24,Supplier#000000024,C4nPvLrVmKPPabFCj,0,106209392254,9171.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
25,25,Supplier#000000025,RCQKONXMFnrodzz6w7fObFVV6CUm2q,22,324319453541,9198.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
26,26,Supplier#000000026,"iV,MHzAx6Z939uzFNkq09M0a1 MBfH7",21,317588944436,21.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
27,27,Supplier#000000027,lC4CjKwNHUr6L4xIpzOBK4NlHkFTg,18,287089992028,1888.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
28,28,Supplier#000000028,"GBhvoRh,7YIN V",0,105383848460,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
29,29,Supplier#000000029,658tEqXLPvRd6xpFdqC2,1,115557055922,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
30,30,Supplier#000000030,84NmC1rmQfO0fj3zkobLT,16,269405944852,8080.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
31,31,Supplier#000000031,fRJimA7zchyApqRLHcQeocVpP,16,265155304159,5917.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
32,32,Supplier#000000032,yvoD3TtZSx1skQNCK8agk5bZlZLug,23,334846377873,3556.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
33,33,Supplier#000000033,gfeKpYw3400L0SDywXA6Ya1Qmq1w6YB9f3R,7,171388979374,8564.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
34,34,Supplier#000000034,"mYRe3KvA2O4lL4HhxDKkkrPUDPMKRCSp,Xpa",10,205199822343,237.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
35,35,Supplier#000000035,"QymmGXxjVVQ5OuABCXVVsu,4eF gU0Qc6",21,317207905245,4381.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
36,36,Supplier#000000036,mzSpBBJvbjdx3UKTW3bLFewRD78D91lAC879,13,232734933679,2372.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
37,37,Supplier#000000037,cqjyB5h1nV,0,104701441330,3017.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
38,38,Supplier#000000038,xEcx45vD0FXHT7c9mvWFY,4,143612966426,2512.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
39,39,Supplier#000000039,"ZM, nSYpEPWr1yAFHaC91qjFcijjeU5eH",8,188518565633,6116.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
40,40,Supplier#000000040,zyIeWzbbpkTV37vm1nmSGBxSgd2Kp,22,322312476991,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
41,41,Supplier#000000041,G 1FKHR435 wMKFmyt,18,287394472525,6943.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
42,42,Supplier#000000042,1Y5lwEgpe3j2vbUBYj3SwLhK62JlwEMtDC,22,326982986317,6565.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
43,43,Supplier#000000043,Z5mLuAoTUEeKY5v22VnnA4D87Ao6jF2LvMYnlX8h,12,224215684862,7773.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
44,44,Supplier#000000044,kERxlLDnlIZJdN66zAPHklyL,7,177139305667,9759.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
45,45,Supplier#000000045,LcKnsa8XGtIO0WYSB7hkOrH rnzRg1,9,191896358862,2944.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
46,46,Supplier#000000046,"e0URUXfDOYMdKe16Z5h5StMRbzGmTs,D2cjap",24,347483083215,3580.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
47,47,Supplier#000000047,"3XM1x,Pcxqw,HK4XNlgbnZMbLhBHLA",14,248103544471,2958.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
48,48,Supplier#000000048,jg0U FNPMQDuyuKvTnLXXaLf3Wl6OtONA6mQlWJ,14,247225519498,5631.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
49,49,Supplier#000000049,Nvq 6macF4GtJvz,24,342115676800,9915.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
50,50,Supplier#000000050,rGobqSMMYz0ErrPhCGS,9,195615607437,4516.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
51,51,Supplier#000000051,rDkBXb01POIKjOwrij62uM8O4,9,194755371368,7241.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
52,52,Supplier#000000052,"WCk XCHYzBA1dvJDSol4ZJQQcQN,",19,299749344713,287.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
53,53,Supplier#000000053,i9v3 EsYCfLKFU6PIt8iihBOHBB37yR7b3GD7Rt,7,178861016083,6177.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
54,54,Supplier#000000054,"J1s,Wxb5pg",12,229664357200,2734.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
55,55,Supplier#000000055,OqdYSiOQeG4eGi636Tj,24,348769126007,7162.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
56,56,Supplier#000000056,fUVtlUVal GiHBOuYoUQ XQ9NfNLQR3Gl,16,264711955486,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
57,57,Supplier#000000057,bEWqUVRR f0mb2o18Y,17,276815146892,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
58,58,Supplier#000000058,01dEADIZoCULZXg,16,266599695586,92.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
59,59,Supplier#000000059,N8lKbYjMnVlEHmTPRmBgtLiX8rrJx,17,272493959123,586.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
60,60,Supplier#000000060,cb08ntDTARo47WmnBcYXu,8,185503602464,4516.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
61,61,Supplier#000000061,Oz0M1qBR9I,8,183964899719,6097.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
62,62,Supplier#000000062,bSmlFYUKBeRsqJxwC9 zS6xpFdEf5jNTb,19,296036532494,9203.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
63,63,Supplier#000000063,"NlV0OQyIoPvPkw5AYuWGomX,hgqm1",5,157814013047,5742.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
64,64,Supplier#000000064,w80JjnIP lGoLdUjRutbv81gGlqqpW4PQBeOtSYU,24,342787907004,1310.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
65,65,Supplier#000000065,BsAnHUmSFArppKrM,22,324448352434,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
66,66,Supplier#000000066,"qYdruFJQJYYiKvnNVmYfCVydVB8bcW,AW,U6SOV3",23,333008369529,2456.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
67,67,Supplier#000000067,7YrEKJncHFk5D W7ZaqfAXV,4,145635381657,3577.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
68,68,Supplier#000000068,"Ue6N50wH2CwE4PPgTGLmat,ibGYYlDoOb3xQwtgb",21,312673274328,5119.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
69,69,Supplier#000000069,"T2Dl9,f97e333eRuMi2z",4,144917078310,8467.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
70,70,Supplier#000000070,"INWNH2w,OOWgNDq0BRCcBwOMQc6PdFDc4",6,168216081166,9508.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
71,71,Supplier#000000071,YFo8an7P6wi Q,1,117439197272,8180.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
72,72,Supplier#000000072,mKpAJojtawk2alqV4 ZEbJ3PH3wfYqy AM8rGq1,18,281138986643,7015.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
73,73,Supplier#000000073,HBZA1NHvrswQCxTTjg 5XrfSOGgMRKNCe2ovE,16,267583107496,3793.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
74,74,Supplier#000000074,uM3yV5NOc6b5wNdpxF69CW 8QvDxqvKubRJtA,20,301664861559,4171.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
75,75,Supplier#000000075,7f3gN4rP1livII,18,287167048686,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
76,76,Supplier#000000076,JBhSBa3cLYvNgHUYtUHmtECCD,14,242287637840,2971.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
77,77,Supplier#000000077,"wVtcr0uH3CyrSiWMLsqnB09Syo,UuZxPMeBghlY",7,172813454863,4187.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
78,78,Supplier#000000078,9y3OZ2CV hGrsrQxzB7V3zTtygHVHlG3SD6yrz,5,156709986860,1044.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
79,79,Supplier#000000079,p0u3tztSXUD2J8vFfLNFNKsrRRv7qyUtTBTA,14,244022279600,1192.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
80,80,Supplier#000000080,"cJ2MHSEJ13rIL2Wj3D5i6hRo30,ZiNUXhqn",21,316462891906,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
81,81,Supplier#000000081,"SLlacbhgpKmVa,gF3saYv12e0",12,225353106971,166.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
82,82,Supplier#000000082,WyTKA7ZpF15t1aCNlT3,18,281775729691,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
83,83,Supplier#000000083,WRJUkzCn050seVz57oAfrbCuw,14,245295592461,1468.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
84,84,Supplier#000000084,DcYjWMiZGQqEKOJi4wAmIV08ikx,24,348691187803,4781.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
85,85,Supplier#000000085,Ckls9RtlzKSF,7,171678068199,7175.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
86,86,Supplier#000000086,J1fgg5QaqnN,19,299036657065,1883.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
87,87,Supplier#000000087,WCw7URDj8zoZ7tqC3cpm7,24,348602291674,4747.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
88,88,Supplier#000000088,yOshY8wwzMgS,11,211919389469,3086.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
89,89,Supplier#000000089,fhtzZcSorhud1,9,192598761014,1638.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
90,90,Supplier#000000090,"bPE6Uhz1f2m3gwSGMrnRt,g,3gq37r5kxgphqss1",6,163801239217,6202.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
91,91,Supplier#000000091,YV45D7TkfdQanOOZ7q9QxkyGUapU1oOWU6q3,3,136049869056,6256.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
92,92,Supplier#000000092,n48Wy4QI3lml8T217rk,2,127014328346,2471.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
93,93,Supplier#000000093,"wd1djjKXT,4zBm",16,265285281157,369.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
94,94,Supplier#000000094,"lK,pLPjAMVGJOXN80zPZuNQjpChliE",4,147288888882,2767.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
95,95,Supplier#000000095,p2 2hBfH5TD,19,291425391403,2589.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
96,96,Supplier#000000096,"Lbxp3WIipye o2wZme1i9iJx,xTt1Mp",12,228886547193,3437.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
97,97,Supplier#000000097,MrCQha2G6ndX1fp6CA,4,146186781789,6642.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
98,98,Supplier#000000098,ogHn8dpXB5Q,21,319147751978,5873.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
99,99,Supplier#000000099,"4SxkTHG28nZrtT0,MnVF9H",18,282729091617,3671.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
100,100,Supplier#000000100,rIlN li8zvW22l2slbcx ECP4fL,21,313513245062,3192.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
101,201,Supplier#000201,ADDRESS NOT PROVIDED,3,919001234567,1501.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
102,203,Supplier#000203,weird@@@address,10,9999999999,2000.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
103,204,SUPPLIER,ADDRESS NOT PROVIDED,5,193008887777,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
104,205,Supplier#000205,ADDRESS NOT PROVIDED,7,9999999999,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
105,206,SUPPLIER,broken address###,0,9999999999,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
106,210,Supplier#000210,random text,2,917883332222,0.00,2025-11-27 20:56:40.940,9999-12-31 23:59:59.000,true,INITIAL_LOAD
